f(kHz),|Z| (ohm),Fase (°)
0.1,0.013,0
0.20201,0.015,0
0.5022,0.008,0
0.50802,0.01,0
0.51391,0.009,0
0.51987,0.013,0
0.5259,0.012,0
0.53199,0.013,0
0.53816,0.014,0
0.5444,0.015,0
0.55071,0.013,0
0.5571,0.016,0
0.56356,0.016,0
0.57009,0.017,0
0.5767,0.017,0
0.58339,0.021,0
0.59015,0.02,0
0.59699,0.021,0
0.60392,0.02,0
0.61092,0.023,0
0.618,0.024,0
0.62517,0.026,0
0.63241,0.027,0
0.63975,0.028,0
0.64716,0.031,0
0.65467,0.03,0
0.66226,0.031,0
0.66993,0.033,0
0.6777,0.035,0
0.68556,0.038,0
0.69351,0.039,0
0.70155,0.04,0
0.70968,0.042,0
0.71791,0.041,0
0.72623,0.045,0
0.73465,0.047,0
0.74317,0.047,0
0.75179,0.05,0
0.7605,0.051,-173.2
0.76932,0.053,-173.3
0.77824,0.056,-174.1
0.78726,0.059,-174.3
0.79639,0.059,-173.2
0.80562,0.062,-173.6
0.81496,0.064,-173.5
0.82441,0.067,-173
0.83397,0.069,-172.7
0.84364,0.071,-172.6
0.85342,0.075,-172.7
0.86332,0.077,-172.1
0.87333,0.079,-172.8
0.88345,0.083,-173.1
0.89369,0.086,-171.7
0.90406,0.089,-171.7
0.91454,0.093,-172.2
0.92514,0.097,-171.8
0.93587,0.1,-172.1
0.94672,0.105,-171.6
0.95769,0.108,-170.9
0.9688,0.113,-170.7
0.98003,0.117,-171.1
0.99139,0.12,-171.3
1.0029,0.125,-171
1.0145,0.13,-170.9
1.0263,0.134,-170.7
1.0382,0.141,-171
1.0502,0.146,-171.1
1.0624,0.152,-170.7
1.0747,0.159,-170.5
1.0872,0.161,-171
1.0998,0.17,-171
1.1125,0.177,-170.6
1.1254,0.182,-171
1.1385,0.191,-171
1.1517,0.199,-170.9
1.165,0.206,-170.7
1.1785,0.214,-170.9
1.1922,0.224,-170.9
1.206,0.233,-171.1
1.22,0.242,-171.2
1.2341,0.253,-171.5
1.2484,0.263,-171.2
1.2629,0.274,-171.5
1.2776,0.287,-171.5
1.2924,0.3,-171.5
1.3074,0.311,-172
1.3225,0.326,-172.2
1.3379,0.342,-172.5
1.3534,0.357,-172.6
1.3691,0.375,-172.8
1.3849,0.392,-173.4
1.401,0.411,-173.6
1.4172,0.431,-174
1.4337,0.453,-174.4
1.4503,0.476,-174.8
1.4671,0.501,-175.4
1.4841,0.526,-175.9
1.5013,0.554,-176.6
1.5187,0.583,-177.3
1.5363,0.617,-178.2
1.5541,0.651,-179.1
1.5722,0.688,-179.9
1.5904,0.728,178.9
1.6088,0.771,177.8
1.6275,0.816,176.4
1.6463,0.867,175.1
1.6654,0.922,173.6
1.6847,0.978,171.7
1.7043,1.04,169.9
1.724,1.105,167.7
1.744,1.176,165.4
1.7642,1.25,162.9
1.7847,1.327,159.81
1.8054,1.407,156.77
1.8263,1.488,153.3
1.8475,1.568,149.52
1.8689,1.645,145.56
1.8906,1.72,141.28
1.9125,1.784,136.78
1.9347,1.84,132.17
1.9571,1.883,127.46
1.9798,1.91,122.73
2.0028,1.924,117.99
2.026,1.923,113.47
2.0495,1.911,109.07
2.0732,1.886,104.92
2.0973,1.855,101.06
2.1216,1.816,97.54
2.1462,1.774,94.35
2.1711,1.727,91.35
2.1962,1.682,88.62
2.2217,1.639,86.14
2.2474,1.595,83.84
2.2735,1.552,81.86
2.2999,1.51,80.1
2.3265,1.473,78.44
2.3535,1.434,76.93
2.3808,1.4,75.65
2.4084,1.367,74.49
2.4363,1.336,73.39
2.4646,1.306,72.39
2.4931,1.28,71.5
2.522,1.255,70.75
2.5513,1.231,70.02
2.5809,1.209,69.3
2.6108,1.188,68.79
2.6411,1.171,68.23
2.6717,1.15,67.81
2.7026,1.136,67.4
2.734,1.121,66.9
2.7657,1.105,66.65
2.7977,1.092,66.3
2.8302,1.081,66
2.863,1.069,65.9
2.8962,1.058,65.7
2.9298,1.049,65.5
2.9637,1.04,65.4
2.9981,1.032,65.2
3.0329,1.024,65.1
3.068,1.017,65
3.1036,1.009,65
3.1396,1.005,64.9
3.176,0.998,64.9
3.2128,0.994,64.8
3.25,0.989,64.8
3.2877,0.984,64.8
3.3258,0.981,64.8
3.3644,0.976,64.8
3.4034,0.975,64.9
3.4429,0.972,64.9
3.4828,0.969,65.1
3.5232,0.968,65.1
3.564,0.967,65.2
3.6053,0.965,65.2
3.6471,0.964,65.4
3.6894,0.964,65.3
3.7322,0.964,65.6
3.7755,0.963,65.5
3.8192,0.965,65.6
3.8635,0.965,65.8
3.9083,0.966,66
3.9536,0.966,66.1
3.9995,0.968,66.2
4.0458,0.971,66.2
4.0927,0.973,66.5
4.1402,0.975,66.6
4.1882,0.977,66.8
4.2368,0.979,66.9
4.2859,0.982,67
4.3356,0.985,67.2
4.3858,0.988,67.3
4.4367,0.992,67.5
4.4881,0.996,67.7
4.5402,0.998,67.8
4.5928,1.003,68
4.646,1.007,68.1
4.6999,1.012,68.3
4.7544,1.017,68.4
4.8095,1.021,68.6
4.8653,1.027,68.8
4.9217,1.03,68.9
4.9788,1.035,69.1
5.0365,1.041,69.2
5.0949,1.046,69.4
5.1539,1.054,69.6
5.2137,1.058,69.8
5.2742,1.065,70
5.3353,1.073,70.1
5.3972,1.079,70.2
5.4597,1.086,70.4
5.523,1.092,70.6
5.5871,1.099,70.8
5.6518,1.106,71
5.7174,1.112,71.1
5.7837,1.123,71.3
5.8507,1.129,71.4
5.9185,1.137,71.6
5.9872,1.146,71.8
6.0566,1.154,71.9
6.1268,1.162,72.2
6.1978,1.17,72.3
6.2697,1.18,72.4
6.3424,1.189,72.6
6.4159,1.199,72.8
6.4903,1.207,72.9
6.5656,1.217,73.1
6.6417,1.227,73.2
6.7187,1.236,73.5
6.7966,1.247,73.5
6.8754,1.257,73.7
6.9551,1.268,73.9
7.0357,1.278,74
7.1173,1.289,74.2
7.1998,1.299,74.4
7.2833,1.311,74.48
7.3677,1.323,74.61
7.4532,1.334,74.78
7.5396,1.346,74.94
7.627,1.357,75.06
7.7154,1.37,75.22
7.8049,1.383,75.32
7.8954,1.394,75.48
7.9869,1.406,75.65
8.0795,1.419,75.89
8.1732,1.432,75.95
8.2679,1.445,76.14
8.3638,1.46,76.28
8.4608,1.473,76.43
8.5589,1.488,76.52
8.6581,1.501,76.62
8.7585,1.515,76.79
8.86,1.531,76.92
8.9627,1.544,77.04
9.0666,1.559,77.2
9.1718,1.574,77.34
9.2781,1.59,77.44
9.3857,1.607,77.6
9.4945,1.619,77.69
9.6046,1.638,77.79
9.7159,1.653,77.98
9.8286,1.671,78.05
9.9425,1.688,78.17
10.058,1.704,78.35
10.174,1.721,78.45
10.292,1.738,78.56
10.412,1.756,78.71
10.532,1.773,78.82
10.655,1.791,78.93
10.778,1.811,79.06
10.903,1.827,79.15
11.029,1.848,79.28
11.157,1.867,79.36
11.287,1.885,79.46
11.418,1.905,79.62
11.55,1.925,79.72
11.684,1.945,79.84
11.819,1.965,79.96
11.956,1.983,80.07
12.095,2.006,80.15
12.235,2.027,80.25
12.377,2.048,80.35
12.521,2.071,80.43
12.666,2.092,80.57
12.813,2.114,80.66
12.961,2.139,80.74
13.111,2.16,80.86
13.263,2.184,80.95
13.417,2.211,80.99
13.573,2.231,81.14
13.73,2.255,81.23
13.889,2.28,81.32
14.05,2.303,81.43
14.213,2.327,81.51
14.378,2.353,81.59
14.545,2.378,81.74
14.713,2.403,81.82
14.884,2.43,81.86
15.056,2.456,81.96
15.231,2.483,82.04
15.408,2.51,82.1
15.586,2.538,82.16
15.767,2.565,82.29
15.95,2.594,82.35
16.135,2.622,82.45
16.322,2.652,82.51
16.511,2.68,82.57
16.702,2.711,82.69
16.896,2.74,82.75
17.092,2.77,82.83
17.29,2.802,82.9
17.491,2.832,82.99
17.693,2.861,83.02
17.898,2.895,83.13
18.106,2.927,83.18
18.316,2.958,83.26
18.528,2.992,83.36
18.743,3.025,83.4
18.96,3.06,83.45
19.18,3.093,83.49
19.403,3.128,83.59
19.628,3.163,83.69
19.855,3.199,83.73
20.085,3.234,83.8
20.318,3.269,83.87
20.554,3.307,83.91
20.792,3.344,84
21.033,3.381,84.08
21.277,3.419,84.11
21.524,3.456,84.19
21.773,3.496,84.24
22.026,3.537,84.3
22.281,3.577,84.35
22.539,3.616,84.42
22.801,3.658,84.48
23.065,3.699,84.52
23.332,3.741,84.59
23.603,3.784,84.66
23.877,3.826,84.7
24.153,3.869,84.75
24.433,3.913,84.78
24.717,3.956,84.84
25.003,4.003,84.91
25.293,4.048,84.97
25.586,4.093,85.01
25.883,4.139,85.06
26.183,4.186,85.11
26.487,4.235,85.17
26.794,4.282,85.22
27.104,4.331,85.25
27.419,4.381,85.3
27.737,4.43,85.36
28.058,4.48,85.41
28.384,4.532,85.46
28.713,4.584,85.49
29.045,4.634,85.52
29.382,4.686,85.57
29.723,4.739,85.62
30.068,4.794,85.65
30.416,4.849,85.71
30.769,4.904,85.75
31.126,4.96,85.81
31.486,5.016,85.85
31.851,5.076,85.87
32.221,5.131,85.92
32.594,5.189,85.97
32.972,5.248,86.01
33.354,5.312,86.04
33.741,5.374,86.07
34.132,5.433,86.1
34.528,5.494,86.13
34.928,5.558,86.19
35.333,5.622,86.23
35.743,5.686,86.26
36.157,5.752,86.27
36.577,5.817,86.32
37.001,5.884,86.36
37.43,5.951,86.39
37.864,6.02,86.43
38.303,6.087,86.46
38.747,6.158,86.49
39.196,6.229,86.53
39.65,6.3,86.56
40.11,6.374,86.59
40.575,6.448,86.63
41.046,6.52,86.65
41.521,6.596,86.69
42.003,6.672,86.73
42.49,6.749,86.75
42.982,6.824,86.76
43.481,6.902,86.81
43.985,6.98,86.83
44.495,7.06,86.85
45.011,7.136,86.89
45.533,7.222,86.92
46.061,7.305,86.93
46.595,7.381,86.98
47.135,7.475,87.05
47.681,7.564,87.07
48.234,7.648,87.03
48.793,7.726,87.14
49.359,7.822,87.14
49.931,7.915,87.14
50.51,8.003,87.2
51.096,8.102,87.16
51.688,8.173,87.18
52.288,8.271,87.17
52.894,8.386,87.31
53.507,8.479,87.3
54.127,8.569,87.33
54.755,8.674,87.34
55.39,8.77,87.38
56.032,8.879,87.42
56.682,8.967,87.42
57.339,9.079,87.45
58.004,9.182,87.49
58.676,9.284,87.54
59.356,9.395,87.56
60.044,9.502,87.62
60.741,9.609,87.59
61.445,9.719,87.65
62.157,9.834,87.68
62.878,9.95,87.7
63.607,10.062,87.71
64.344,10.178,87.76
65.09,10.298,87.76
65.845,10.423,87.79
66.608,10.542,87.81
67.381,10.668,87.84
68.162,10.793,87.85
68.952,10.913,87.91
69.752,11.045,87.91
70.56,11.171,87.94
71.378,11.306,87.95
72.206,11.435,87.97
73.043,11.571,88.04
73.89,11.708,88.03
74.747,11.846,88.05
75.613,11.987,88.08
76.49,12.133,88.09
77.377,12.272,88.09
78.274,12.42,88.13
79.181,12.569,88.15
80.099,12.718,88.15
81.028,12.873,88.17
81.968,13.03,88.18
82.918,13.19,88.18
83.879,13.34,88.22
84.852,13.51,88.23
85.836,13.67,88.25
86.831,13.83,88.23
87.837,14,88.22
88.856,14.17,88.22
89.886,14.33,88.23
90.928,14.51,88.17
91.982,14.68,88.16
93.049,14.85,88.12
94.128,15.03,88.12
95.219,15.2,88.09
96.323,15.38,88.09
97.44,15.56,88.09
98.569,15.75,88.04
99.712,15.93,88.04
101,16.12,87.98
102,16.31,88.01
103,16.49,87.98
104,16.68,88
106,16.87,87.96
107,17.07,87.94
108,17.26,87.93
109,17.46,87.92
111,17.66,87.91
112,17.87,87.91
113,18.07,87.88
115,18.28,87.88
116,18.49,87.87
117,18.7,87.86
119,18.92,87.84
120,19.14,87.84
121,19.35,87.84
123,19.57,87.82
124,19.8,87.81
126,20.03,87.81
127,20.26,87.79
128,20.49,87.79
130,20.73,87.77
131,20.97,87.77
133,21.21,87.76
135,21.46,87.76
136,21.71,87.75
138,21.96,87.74
139,22.22,87.73
141,22.48,87.73
143,22.74,87.71
144,23,87.71
146,23.27,87.69
148,23.53,87.69
149,23.8,87.67
151,24.08,87.67
153,24.36,87.66
155,24.65,87.66
156,24.93,87.64
158,25.22,87.63
160,25.51,87.62
162,25.8,87.6
164,26.1,87.6
166,26.39,87.59
168,26.7,87.58
169,27.01,87.57
171,27.32,87.55
173,27.64,87.54
175,27.96,87.53
177,28.29,87.51
180,28.64,87.47
182,28.95,87.48
184,29.29,87.47
186,29.62,87.47
188,29.97,87.45
190,30.32,87.43
192,30.68,87.42
195,31.04,87.41
197,31.4,87.39
199,31.77,87.38
201,32.14,87.37
204,32.51,87.35
206,32.9,87.34
209,33.29,87.32
211,33.68,87.31
213,34.07,87.29
216,34.47,87.28
218,34.87,87.26
221,35.28,87.25
223,35.71,87.22
226,36.12,87.21
229,36.54,87.21
231,36.97,87.19
234,37.4,87.17
237,37.84,87.15
239,38.29,87.14
242,38.74,87.12
245,39.19,87.1
248,39.64,87.09
251,40.11,87.07
254,40.58,87.05
257,41.06,87.04
260,41.54,87.02
263,42.03,87
266,42.52,86.99
269,43.03,86.97
272,43.53,86.95
275,44.05,86.94
278,44.57,86.92
281,45.1,86.91
285,45.63,86.89
288,46.17,86.88
291,46.71,86.86
295,47.27,86.86
298,47.83,86.85
302,48.39,86.83
305,48.97,86.82
309,49.55,86.82
312,50.14,86.8
316,50.75,86.8
319,51.36,86.8
323,51.97,86.79
327,52.61,86.79
331,53.25,86.8
335,53.91,86.8
338,54.56,86.81
342,55.25,86.82
346,55.93,86.83
350,56.64,86.84
354,57.37,86.87
358,58.11,86.9
363,58.87,86.92
367,59.66,86.95
371,60.49,86.98
375,61.35,87.01
380,62.24,87.04
384,63.18,87.05
389,64.16,87.04
393,65.2,87.01
398,66.27,86.93
402,67.4,86.81
407,68.53,86.62
412,69.67,86.36
416,70.78,86.05
421,71.82,85.69
426,72.78,85.32
431,73.66,84.94
436,74.46,84.58
441,75.22,84.27
446,75.94,84
451,76.64,83.76
457,77.35,83.56
462,78.06,83.4
467,78.79,83.27
473,79.56,83.15
478,80.34,83.05
484,81.15,82.97
489,82,82.88
495,82.86,82.81
501,83.75,82.74
507,84.67,82.66
512,85.59,82.59
518,86.54,82.52
524,87.52,82.45
530,88.52,82.39
537,89.55,82.32
543,90.58,82.25
549,91.64,82.19
556,92.7,82.12
562,93.81,82.04
568,94.94,81.96
575,96.08,81.88
582,97.25,81.79
588,98.41,81.71
595,99.61,81.62
602,100.8,81.53
609,102.02,81.44
616,103.25,81.35
623,104.51,81.25
631,105.82,81.14
638,107.12,81.05
645,108.45,80.94
653,109.78,80.83
660,111.17,80.71
668,112.55,80.59
676,113.97,80.45
684,115.4,80.34
692,116.86,80.21
700,118.31,80.07
708,119.82,79.93
716,121.36,79.79
724,122.91,79.64
733,124.47,79.5
741,126.04,79.35
750,127.66,79.2
758,129.31,79.05
767,131,78.9
776,132.6,78.73
785,134.4,78.58
794,136.1,78.41
803,137.8,78.23
813,139.6,78.05
822,141.4,77.87
832,143.3,77.69
841,145.1,77.5
851,147,77.31
861,148.9,77.11
871,150.9,76.92
881,152.9,76.71
891,154.9,76.49
901,157,76.28
912,159,76.06
922,161.1,75.83
933,163.3,75.59
944,165.5,75.37
955,167.7,75.12
966,170,74.87
977,172.2,74.61
989,174.6,74.35
1000,177,74.08
