Freq.	V(n017)
1.00000000000000e+001	(9.54210261835906e+000dB,1.79998624355470e+002°)
1.02329299228075e+001	(9.54210262232450e+000dB,1.79998592309740e+002°)
1.04712854805090e+001	(9.54210262647177e+000dB,1.79998559517368e+002°)
1.07151930523761e+001	(9.54210263080891e+000dB,1.79998525960951e+002°)
1.09647819614319e+001	(9.54210263534442e+000dB,1.79998491622676e+002°)
1.12201845430196e+001	(9.54210264008698e+000dB,1.79998456484316e+002°)
1.14815362149688e+001	(9.54210264504584e+000dB,1.79998420527218e+002°)
1.17489755493953e+001	(9.54210265023041e+000dB,1.79998383732292e+002°)
1.20226443461741e+001	(9.54210265565062e+000dB,1.79998346080006e+002°)
1.23026877081238e+001	(9.54210266131683e+000dB,1.79998307550367e+002°)
1.25892541179417e+001	(9.54210266723962e+000dB,1.79998268122918e+002°)
1.28824955169313e+001	(9.54210267343020e+000dB,1.79998227776724e+002°)
1.31825673855641e+001	(9.54210267990011e+000dB,1.79998186490359e+002°)
1.34896288259165e+001	(9.54210268666139e+000dB,1.79998144241898e+002°)
1.38038426460288e+001	(9.54210269372650e+000dB,1.79998101008903e+002°)
1.41253754462275e+001	(9.54210270110841e+000dB,1.79998056768412e+002°)
1.44543977074593e+001	(9.54210270882050e+000dB,1.79998011496925e+002°)
1.47910838816821e+001	(9.54210271687676e+000dB,1.79997965170395e+002°)
1.51356124843621e+001	(9.54210272529162e+000dB,1.79997917764210e+002°)
1.54881661891248e+001	(9.54210273408002e+000dB,1.79997869253185e+002°)
1.58489319246111e+001	(9.54210274325754e+000dB,1.79997819611544e+002°)
1.62181009735893e+001	(9.54210275284015e+000dB,1.79997768812909e+002°)
1.65958690743756e+001	(9.54210276284452e+000dB,1.79997716830284e+002°)
1.69824365246174e+001	(9.54210277328778e+000dB,1.79997663636044e+002°)
1.73780082874937e+001	(9.54210278418763e+000dB,1.79997609201915e+002°)
1.77827941003892e+001	(9.54210279556244e+000dB,1.79997553498962e+002°)
1.81970085860998e+001	(9.54210280743116e+000dB,1.79997496497574e+002°)
1.86208713666287e+001	(9.54210281981314e+000dB,1.79997438167444e+002°)
1.90546071796325e+001	(9.54210283272863e+000dB,1.79997378477560e+002°)
1.94984459975804e+001	(9.54210284619825e+000dB,1.79997317396179e+002°)
1.99526231496888e+001	(9.54210286024330e+000dB,1.79997254890819e+002°)
2.04173794466953e+001	(9.54210287488565e+000dB,1.79997190928235e+002°)
2.08929613085404e+001	(9.54210289014772e+000dB,1.79997125474403e+002°)
2.13796208950223e+001	(9.54210290605274e+000dB,1.79997058494504e+002°)
2.18776162394955e+001	(9.54210292262418e+000dB,1.79996989952902e+002°)
2.23872113856834e+001	(9.54210293988638e+000dB,1.79996919813126e+002°)
2.29086765276777e+001	(9.54210295786405e+000dB,1.79996848037851e+002°)
2.34422881531992e+001	(9.54210297658253e+000dB,1.79996774588878e+002°)
2.39883291901949e+001	(9.54210299606762e+000dB,1.79996699427113e+002°)
