Freq.	V(n008)
1.00000000000000e+001	(-4.51620405762306e-001dB,1.68711858735665e+002°)
1.02329299228075e+001	(-4.71828388261807e-001dB,1.68479700173465e+002°)
1.04712854805090e+001	(-4.92892459563520e-001dB,1.68244177928916e+002°)
1.07151930523761e+001	(-5.14844546943856e-001dB,1.68005342323865e+002°)
1.09647819614319e+001	(-5.37717385287141e-001dB,1.67763252179548e+002°)
1.12201845430196e+001	(-5.61544502481739e-001dB,1.67517975349719e+002°)
1.14815362149688e+001	(-5.86360200779021e-001dB,1.67269589272933e+002°)
1.17489755493953e+001	(-6.12199533787054e-001dB,1.67018181543610e+002°)
1.20226443461741e+001	(-6.39098278760457e-001dB,1.66763850501358e+002°)
1.23026877081238e+001	(-6.67092903833748e-001dB,1.66506705837906e+002°)
1.25892541179417e+001	(-6.96220529837578e-001dB,1.66246869220842e+002°)
1.28824955169313e+001	(-7.26518886325616e-001dB,1.65984474933189e+002°)
1.31825673855641e+001	(-7.58026261431985e-001dB,1.65719670527693e+002°)
1.34896288259165e+001	(-7.90781445171102e-001dB,1.65452617494509e+002°)
1.38038426460288e+001	(-8.24823665786163e-001dB,1.65183491940794e+002°)
1.41253754462275e+001	(-8.60192518744736e-001dB,1.64912485280528e+002°)
1.44543977074593e+001	(-8.96927887980510e-001dB,1.64639804932672e+002°)
1.47910838816821e+001	(-9.35069858970953e-001dB,1.64365675025581e+002°)
1.51356124843621e+001	(-9.74658623245595e-001dB,1.64090337105390e+002°)
1.54881661891248e+001	(-1.01573437391294e+000dB,1.63814050845844e+002°)
1.58489319246111e+001	(-1.05833719179891e+000dB,1.63537094756865e+002°)
1.62181009735893e+001	(-1.10250692178717e+000dB,1.63259766888912e+002°)
1.65958690743756e+001	(-1.14828303895550e+000dB,1.62982385529950e+002°)
1.69824365246174e+001	(-1.19570450410108e+000dB,1.62705289891654e+002°)
1.73780082874937e+001	(-1.24480960825205e+000dB,1.62428840781193e+002°)
1.77827941003892e+001	(-1.29563580576116e+000dB,1.62153421254737e+002°)
1.81970085860998e+001	(-1.34821953557698e+000dB,1.61879437248562e+002°)
1.86208713666287e+001	(-1.40259603028833e+000dB,1.61607318183357e+002°)
1.90546071796325e+001	(-1.45879911253202e+000dB,1.61337517537080e+002°)
1.94984459975804e+001	(-1.51686097835004e+000dB,1.61070513381378e+002°)
1.99526231496888e+001	(-1.57681196707217e+000dB,1.60806808876270e+002°)
2.04173794466953e+001	(-1.63868031729228e+000dB,1.60546932717416e+002°)
2.08929613085404e+001	(-1.70249190848760e+000dB,1.60291439529859e+002°)
2.13796208950223e+001	(-1.76826998782103e+000dB,1.60040910201649e+002°)
2.18776162394955e+001	(-1.83603488164010e+000dB,1.59795952150214e+002°)
2.23872113856834e+001	(-1.90580369117259e+000dB,1.59557199513639e+002°)
2.29086765276777e+001	(-1.97758997189458e+000dB,1.59325313258316e+002°)
2.34422881531992e+001	(-2.05140339603047e+000dB,1.59100981193474e+002°)
2.39883291901949e+001	(-2.12724939762784e+000dB,1.58884917882099e+002°)
2.45470891568503e+001	(-2.20512879964502e+000dB,1.58677864436519e+002°)
2.51188643150958e+001	(-2.28503742249214e+000dB,1.58480588185521e+002°)
2.57039578276886e+001	(-2.36696567348778e+000dB,1.58293882198260e+002°)
2.63026799189538e+001	(-2.45089811673937e+000dB,1.58118564648345e+002°)
2.69153480392691e+001	(-2.53681302302854e+000dB,1.57955477999394e+002°)
2.75422870333816e+001	(-2.62468189940189e+000dB,1.57805487990980e+002°)
2.81838293126445e+001	(-2.71446899833404e+000dB,1.57669482401226e+002°)
2.88403150312660e+001	(-2.80613080656144e+000dB,1.57548369559436e+002°)
2.95120922666638e+001	(-2.89961551399991e+000dB,1.57443076578982e+002°)
3.01995172040201e+001	(-2.99486246356049e+000dB,1.57354547277278e+002°)
3.09029543251359e+001	(-3.09180158320479e+000dB,1.57283739746191e+002°)
3.16227766016838e+001	(-3.19035280222665e+000dB,1.57231623532576e+002°)
3.23593656929628e+001	(-3.29042545455941e+000dB,1.57199176385094e+002°)
3.31131121482591e+001	(-3.39191767288393e+000dB,1.57187380520035e+002°)
3.38844156139202e+001	(-3.49471577849102e+000dB,1.57197218355867e+002°)
3.46736850452531e+001	(-3.59869367323569e+000dB,1.57229667663825e+002°)
3.54813389233575e+001	(-3.70371224154262e+000dB,1.57285696080360e+002°)
3.63078054770101e+001	(-3.80961877226935e+000dB,1.57366254927090e+002°)
3.71535229097172e+001	(-3.91624641233305e+000dB,1.57472272285380e+002°)
3.80189396320561e+001	(-4.02341366632112e+000dB,1.57604645276426e+002°)
3.89045144994280e+001	(-4.13092395883315e+000dB,1.57764231504179e+002°)
3.98107170553497e+001	(-4.23856527897662e+000dB,1.57951839628292e+002°)
4.07380277804112e+001	(-4.34610992920420e+000dB,1.58168219048063e+002°)
4.16869383470335e+001	(-4.45331440342906e+000dB,1.58414048696821e+002°)
4.26579518801592e+001	(-4.55991942195553e+000dB,1.58689924969730e+002°)
4.36515832240165e+001	(-4.66565015304525e+000dB,1.58996348837264e+002°)
4.46683592150962e+001	(-4.77021665269609e+000dB,1.59333712231722e+002°)
4.57088189614874e+001	(-4.87331455519172e+000dB,1.59702283835199e+002°)
4.67735141287197e+001	(-4.97462604691579e+000dB,1.60102194444026e+002°)
4.78630092322638e+001	(-5.07382115450270e+000dB,1.60533422135973e+002°)
4.89778819368445e+001	(-5.17055937533194e+000dB,1.60995777521010e+002°)
5.01187233627271e+001	(-5.26449167335862e+000dB,1.61488889412119e+002°)
5.12861383991364e+001	(-5.35526285609046e+000dB,1.62012191306637e+002°)
5.24807460249772e+001	(-5.44251433901318e+000dB,1.62564909117408e+002°)
5.37031796370252e+001	(-5.52588729190633e+000dB,1.63146050632494e+002°)
5.49540873857624e+001	(-5.60502614743317e+000dB,1.63754397207787e+002°)
5.62341325190348e+001	(-5.67958243646767e+000dB,1.64388498203757e+002°)
5.75439937337156e+001	(-5.74921889742589e+000dB,1.65046668661494e+002°)
5.88843655355588e+001	(-5.81361378920122e+000dB,1.65726990670279e+002°)
6.02559586074357e+001	(-5.87246532019452e+000dB,1.66427318806870e+002°)
6.16595001861481e+001	(-5.92549609056459e+000dB,1.67145289924893e+002°)
6.30957344480192e+001	(-5.97245743248953e+000dB,1.67878337442934e+002°)
6.45654229034654e+001	(-6.01313352516251e+000dB,1.68623710126459e+002°)
6.60693448007595e+001	(-6.04734515854920e+000dB,1.69378495188436e+002°)
6.76082975391980e+001	(-6.07495302340739e+000dB,1.70139645355741e+002°)
6.91830970918935e+001	(-6.09586041510653e+000dB,1.70904009374207e+002°)
7.07945784384136e+001	(-6.11001525526376e+000dB,1.71668365266113e+002°)
7.24435960074988e+001	(-6.11741135748873e+000dB,1.72429455521890e+002°)
7.41310241300916e+001	(-6.11808889040929e+000dB,1.73184023312572e+002°)
7.58577575029182e+001	(-6.11213402103487e+000dB,1.73928848758854e+002°)
7.76247116628690e+001	(-6.09967775248639e+000dB,1.74660784290430e+002°)
7.94328234724279e+001	(-6.08089400017882e+000dB,1.75376788175822e+002°)
8.12830516164097e+001	(-6.05599697775928e+000dB,1.76073955394424e+002°)
8.31763771102669e+001	(-6.02523798683278e+000dB,1.76749545151710e+002°)
8.51138038202374e+001	(-5.98890172153139e+000dB,1.77401004495608e+002°)
8.70963589956078e+001	(-5.94730220959564e+000dB,1.78025987665446e+002°)
8.91250938133743e+001	(-5.90077851567153e+000dB,1.78622370982795e+002°)
9.12010839355907e+001	(-5.84969033034451e+000dB,1.79188263264810e+002°)
9.33254300796988e+001	(-5.79441356078866e+000dB,1.79722011895954e+002°)
9.54992586021433e+001	(-5.73533602689358e+000dB,-1.79777795173962e+002°)
9.77237220955808e+001	(-5.67285335157238e+000dB,-1.79312331133166e+002°)
9.99999999999997e+001	(-5.60736511694204e+000dB,-1.78882535265808e+002°)
1.02329299228075e+002	(-5.53927134039344e+000dB,-1.78489120672087e+002°)
1.04712854805090e+002	(-5.46896930728354e+000dB,-1.78132584240055e+002°)
1.07151930523760e+002	(-5.39685078091572e+000dB,-1.77813218363691e+002°)
1.09647819614318e+002	(-5.32329959621802e+000dB,-1.77531123926017e+002°)
1.12201845430196e+002	(-5.24868963146214e+000dB,-1.77286224104557e+002°)
1.14815362149688e+002	(-5.17338314263364e+000dB,-1.77078278604674e+002°)
1.17489755493953e+002	(-5.09772943767115e+000dB,-1.76906897980131e+002°)
1.20226443461741e+002	(-5.02206386258740e+000dB,-1.76771557755981e+002°)
1.23026877081238e+002	(-4.94670706824582e+000dB,-1.76671612123729e+002°)
1.25892541179416e+002	(-4.87196452500669e+000dB,-1.76606307030486e+002°)
1.28824955169313e+002	(-4.79812625227176e+000dB,-1.76574792531019e+002°)
1.31825673855640e+002	(-4.72546673085446e+000dB,-1.76576134313308e+002°)
1.34896288259165e+002	(-4.65424496779111e+000dB,-1.76609324344055e+002°)
1.38038426460288e+002	(-4.58470468545059e+000dB,-1.76673290610512e+002°)
1.41253754462275e+002	(-4.51707460937441e+000dB,-1.76766905959215e+002°)
1.44543977074592e+002	(-4.45156883201924e+000dB,-1.76888996051294e+002°)
1.47910838816820e+002	(-4.38838723233692e+000dB,-1.77038346468381e+002°)
1.51356124843620e+002	(-4.32771593381598e+000dB,-1.77213709013525e+002°)
1.54881661891248e+002	(-4.26972778614644e+000dB,-1.77413807258455e+002°)
1.58489319246111e+002	(-4.21458285800887e+000dB,-1.77637341392697e+002°)
1.62181009735892e+002	(-4.16242893060510e+000dB,-1.77882992431919e+002°)
1.65958690743755e+002	(-4.11340198342286e+000dB,-1.78149425843065e+002°)
1.69824365246174e+002	(-4.06762666536561e+000dB,-1.78435294642653e+002°)
1.73780082874937e+002	(-4.02521674578784e+000dB,-1.78739242022482e+002°)
1.77827941003892e+002	(-3.98627554117110e+000dB,-1.79059903554297e+002°)
1.81970085860998e+002	(-3.95089631417063e+000dB,-1.79395909021777e+002°)
1.86208713666286e+002	(-3.91916264258245e+000dB,-1.79745883924923e+002°)
1.90546071796324e+002	(-3.89114875644333e+000dB,1.79891549301398e+002°)
1.94984459975804e+002	(-3.86691984200020e+000dB,1.79517770316287e+002°)
1.99526231496887e+002	(-3.84653231169420e+000dB,1.79134160113559e+002°)
2.04173794466952e+002	(-3.83003403961155e+000dB,1.78742100441789e+002°)
2.08929613085403e+002	(-3.81746456207898e+000dB,1.78342973373525e+002°)
2.13796208950222e+002	(-3.80885524323843e+000dB,1.77938160995733e+002°)
2.18776162394954e+002	(-3.80422940553577e+000dB,1.77529045195376e+002°)
2.23872113856833e+002	(-3.80360242511847e+000dB,1.77117007515508e+002°)
2.29086765276776e+002	(-3.80698179216352e+000dB,1.76703429058384e+002°)
2.34422881531991e+002	(-3.81436713615973e+000dB,1.76289690412852e+002°)
2.39883291901948e+002	(-3.82575021616122e+000dB,1.75877171583660e+002°)
2.45470891568502e+002	(-3.84111487601300e+000dB,1.75467251900356e+002°)
2.51188643150957e+002	(-3.86043696454264e+000dB,1.75061309883088e+002°)
2.57039578276885e+002	(-3.88368422071021e+000dB,1.74660723041940e+002°)
2.63026799189537e+002	(-3.91081612373740e+000dB,1.74266867585307e+002°)
2.69153480392690e+002	(-3.94178370828852e+000dB,1.73881118011430e+002°)
2.75422870333816e+002	(-3.97652934487435e+000dB,1.73504846555372e+002°)
2.81838293126444e+002	(-4.01498648580188e+000dB,1.73139422461604e+002°)
2.88403150312659e+002	(-4.05707937720878e+000dB,1.72786211049868e+002°)
2.95120922666637e+002	(-4.10272273802331e+000dB,1.72446572539256e+002°)
3.01995172040200e+002	(-4.15182140708544e+000dB,1.72121860592369e+002°)
3.09029543251358e+002	(-4.20426996018305e+000dB,1.71813420538252e+002°)
3.16227766016837e+002	(-4.25995229939897e+000dB,1.71522587229441e+002°)
3.23593656929627e+002	(-4.31874121797551e+000dB,1.71250682485176e+002°)
3.31131121482590e+002	(-4.38049794487729e+000dB,1.70999012069683e+002°)
3.38844156139201e+002	(-4.44507167441054e+000dB,1.70768862151647e+002°)
3.46736850452530e+002	(-4.51229908764459e+000dB,1.70561495188848e+002°)
3.54813389233574e+002	(-4.58200387399842e+000dB,1.70378145180664e+002°)
3.63078054770100e+002	(-4.65399626320897e+000dB,1.70220012231195e+002°)
3.71535229097171e+002	(-4.72807257999174e+000dB,1.70088256367488e+002°)
3.80189396320559e+002	(-4.80401483602111e+000dB,1.69983990561299e+002°)
3.89045144994279e+002	(-4.88159037638148e+000dB,1.69908272909505e+002°)
3.98107170553495e+002	(-4.96055160031265e+000dB,1.69862097938344e+002°)
4.07380277804111e+002	(-5.04063577883529e+000dB,1.69846387010689e+002°)
4.16869383470333e+002	(-5.12156499458253e+000dB,1.69861977834161e+002°)
4.26579518801591e+002	(-5.20304623176059e+000dB,1.69909613091714e+002°)
4.36515832240164e+002	(-5.28477164643497e+000dB,1.69989928245695e+002°)
4.46683592150961e+002	(-5.36641904908562e+000dB,1.70103438601742e+002°)
4.57088189614873e+002	(-5.44765263234518e+000dB,1.70250525760067e+002°)
4.67735141287196e+002	(-5.52812397675828e+000dB,1.70431423628455e+002°)
4.78630092322636e+002	(-5.60747336596697e+000dB,1.70646204222695e+002°)
4.89778819368444e+002	(-5.68533143964427e+000dB,1.70894763534875e+002°)
5.01187233627270e+002	(-5.76132120747410e+000dB,1.71176807805720e+002°)
5.12861383991362e+002	(-5.83506044027606e+000dB,1.71491840591306e+002°)
5.24807460249770e+002	(-5.90616444484912e+000dB,1.71839151063384e+002°)
